Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
1,Al Adab Iranian Private School for Boys,2,2,2,4,4,4,5,4,4,4,4,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,4,3,3,3,2,2,3,3,2
2,Al Adab Iranian Private School for Girls,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Al Arqm Private School,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
5,Al Basateen Private Nursery,2,3,3,4,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,3,3,4,3,4
6,Al Basateen Private Nursery Hatta branch,3,3,3,4,,,,5,,,,3,,,,3,,,,2,,,,3,,,,2,,,,3,,,,2,,,,3,2,4,2,3
7,Al Diyafah High School,3,3,3,4,4,4,5,4,4,4,5,4,4,4,5,3,3,3,4,3,3,3,4,3,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,4,3,5,4,3
8,Al Eman Educational Est ,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,3,1,2
9,Al Ittihad Private school,2,2,3,4,3,3,4,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,5,4,4,4,4,3,3,3,2,3,3,2,3
10,Al Ittihad Private School (BR),3,3,3,5,5,4,4,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,3,4,3,4
11,Al Khaleej National School,2,3,3,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,2
12,Al Maaref Private School (LLC),1,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,2,2
13,Al Mawakeb School - Al Garhoud,3,3,3,4,5,5,5,4,4,4,4,4,4,5,5,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3
14,Al Mawakeb School - Br,3,3,3,4,4,5,5,4,4,4,5,4,4,5,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3
15,Al Mizhar American Academy School,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,5,2,4
16,Al Nibras International private School,2,2,2,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3
17,Al Rashid Al Saleh Private School,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,3,3,4,3,3
18,Al Sadiq Islamic English School,2,2,2,3,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2
20,Al Salam Private School,3,3,3,4,4,4,5,5,5,5,5,4,4,4,5,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,4,3,3
21,Al Shurooq Private School,2,2,2,3,3,3,4,4,3,3,4,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,1,2
22,Ambassador Kindergarten LLC,3,4,4,5,,,,5,,,,4,,,,4,,,,4,,,,5,,,,4,,,,5,,,,4,,,,4,4,5,4,4
23,Ambassador School L.L.C,3,3,3,,4,4,5,,4,4,4,,4,4,4,,4,3,4,,4,4,4,,4,4,4,,4,4,4,,5,5,5,,4,4,4,4,3,4,4,3
24,American International School,2,2,2,3,3,3,4,4,4,4,4,3,4,4,5,3,2,3,3,2,2,2,2,3,2,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2
25,American School of Creative Science,,,2,3,3,3,,4,4,4,,3,3,3,,2,2,2,,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,
26,American School of Dubai,3,3,3,5,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,5,2,1,1,5,3,3,3,5,5,5,5,5,5,5,5,2,3,5,2,5
27,AMLED SCHOOL,,2,3,4,4,4,,3,3,3,,3,3,3,,3,3,3,,3,3,3,,3,3,3,,3,3,3,,3,3,3,,3,3,3,,3,3,4,3,3
28,Apple International School,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,2,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3
29,Arab Unity School,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2
30,Bilva Indian School,1,2,3,3,3,3,0,3,3,3,0,2,2,2,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,5,5,5,0,3,3,3,0,3,3,3,3,3
32,Buds Public School,2,2,2,3,3,4,4,2,3,3,3,2,2,3,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,3,2,2
33,Cambridge International School,3,3,3,5,4,4,4,5,4,4,5,5,5,5,5,4,3,3,3,4,3,3,3,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,5,3,3
34,CAPITAL SCHOOL.,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3
35,Clarion School L.L.C,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Collegiate American School,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,3,3,4,5,5,5,5,4,4,4,4,4,3,4,5,4
37,CREDENCE HIGH SCHOOL,2,3,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,4,3,4
38,Crescent English School,1,1,2,4,4,4,4,3,4,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2
39,Dar Al Marefa School,3,3,3,4,4,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,3,5,3,3
40,Deira International School,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
41,Deira private school,2,2,2,3,3,,,2,3,,,3,3,,,2,2,,,2,2,,,3,3,,,2,2,,,4,4,,,3,3,,,2,2,3,2,2
42,Delhi Private School,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,3,3,4,4,5,5,5,4,4,4,5,5,5,5,5,4,4,4,5,5,4,5,5,4
43,Dovecote Green Primary School,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Dubai Arabian American Private School,1,1,2,3,3,2,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,2,2,2,2,2,2,2,2,2
45,Dubai British School,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46,Dubai British School Jumeirah Park,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dubai Carmel School,2,2,2,3,3,3,3,5,4,4,4,4,4,4,4,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2
48,Dubai College,5,5,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,5,4,5,4,5
49,Dubai English Speaking private college -branch,5,5,5,0,0,0,5,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,5,5,5,5,5
50,Dubai English Speaking School,4,4,5,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,5,5,5
51,Dubai Gem Private School,3,3,3,5,5,5,5,4,4,4,4,3,4,4,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3
53,Dubai International private School,2,2,2,4,3,3,3,5,4,4,4,4,4,4,4,3,3,2,2,3,3,3,2,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2
54,Dubai International private School - BR,3,3,3,4,3,3,3,5,4,4,4,4,3,3,3,3,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,1,3
55,Dubai Modern Education School,2,2,2,3,3,3,3,3,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,4,4,4,4,2,2,2,2,2,2,3,2,3
55001,Dubai Modern Education School,2,2,2,3,4,3,4,3,3,3,4,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,4,4,4,4,2,2,2,2,2,2,3,2,3
56,Dubai National School,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3
57,Dubai National School ( Branch),3,3,3,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,3
59,Dubai Scholars Private School,3,3,3,5,5,5,5,4,5,5,5,4,5,5,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
60,Elite English School,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2
61,Emirates International private School L.L.C,3,3,3,5,5,5,5,4,4,4,5,4,4,5,5,4,3,3,4,4,3,3,4,4,4,4,5,4,3,3,5,3,3,3,3,4,4,4,5,3,4,4,3,4
62,Emirates International School (Meadows),3,3,3,4,4,5,5,4,4,4,4,4,4,5,5,3,3,4,4,3,4,4,5,3,3,4,5,3,3,4,5,4,4,4,4,5,5,5,5,3,3,4,3,3
63,English Language Private School,1,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
64,Foremarke School,3,4,4,5,5,5,5,3,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,3,4,5,4,5
66,Gems Al Barsha National School For Girls,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,GEMS Dubai American Academy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
68,Gems FirstPoint School,3,3,3,5,5,5,5,4,3,3,3,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,3,3,5
69,GEMS Founders School,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,GEMS Heritage  Indian School,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,GEMS International School- Al Khail,3,3,3,5,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,5,5,4,5,3,3,3,3,3,3,4,3,4
72,GEMS Jumeirah Primary School,5,5,5,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,5,5,5
73,GEMS Metropole School-,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,4,4,4,4,3,3,3,3,3,2,4,2,3
74,GEMS Modern Academy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,GEMS New Millennium School L.L.C,3,3,3,5,4,5,5,4,4,4,4,5,5,5,5,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,5,4,5
76,GEMS Our Own English High School,4,4,4,5,5,5,5,4,5,5,5,4,5,5,5,3,3,4,5,3,3,4,4,4,4,4,5,3,4,4,5,5,5,5,5,4,3,4,4,4,4,5,4,4
77,GEMS Our Own Indian School,3,3,3,5,5,5,5,4,5,5,5,4,5,5,5,3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,2
78,GEMS Royal Dubai School,5,5,5,5,5,,,5,5,,,5,5,,,5,4,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,5,5,5
31,GEMS United School,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,3,3,4,3,5
79,GEMS Wellington Academy (Branch),4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
80,GEMS Wellington Academy- Al Khail,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4
81,GEMS Wellington International School,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
82,GEMS Wellington Primary School,4,4,4,5,5,,,4,5,,,4,4,,,4,4,,,4,4,,,5,5,,,4,4,,,5,5,,,5,5,,,4,4,5,4,5
83,GEMS Winchester School,2,2,2,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,4,4,4,4,2,2,2,2,2,3,3,2,2
84,GEMS World Academy,3,4,4,5,5,4,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5
85,German International School Dubai,3,3,3,5,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4,5,5,5,5,4,4,4,4,3,2,3,4,3
86,Grammar School,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1
87,GreenField Community School,3,3,3,5,5,5,5,5,4,4,4,5,4,4,5,3,3,4,3,3,3,3,3,4,4,4,5,4,3,3,5,4,4,4,4,4,4,4,5,3,3,4,3,4
88,Greenwood International School,3,3,3,4,4,4,5,5,4,4,5,4,4,4,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,2,4,3,3
89,Gulf Indian High School,2,2,2,4,4,4,4,3,4,5,5,3,3,3,5,3,2,2,3,3,2,2,3,3,3,3,3,3,2,2,2,4,4,4,4,3,3,3,3,2,2,3,2,2
